"","chr.x","start","strand","iterations.x","RRS.x","chr.y","iterations.y","RRS.y","ratio"
"1","ENA|U00096|U00096.2",37,"+",428,34.8275434441055,"ENA|U00096|U00096.2",44,19.1442852568119,0.863314917390898
"2","ENA|U00096|U00096.2",39,"+",19,1.54608253607011,"ENA|U00096|U00096.2",3,1.30529217660081,0.244244562349477
"3","ENA|U00096|U00096.2",57,"+",254,20.6686823243056,"ENA|U00096|U00096.2",6,2.61058435320162,2.98500173567806
"4","ENA|U00096|U00096.2",112,"+",160,13.0196424090114,"ENA|U00096|U00096.2",6,2.61058435320162,2.31824514379325
"5","ENA|U00096|U00096.2",113,"+",49,3.98726548775975,NA,NA,0.43509739220027,3.19598939374226
"6","ENA|U00096|U00096.2",122,"-",56,4.556874843154,NA,NA,0.43509739220027,3.38863447168465
"7","ENA|U00096|U00096.2",132,"-",22,1.79020083123907,"ENA|U00096|U00096.2",1,0.43509739220027,2.04071116826435
"8","ENA|U00096|U00096.2",132,"+",40,3.25491060225285,NA,NA,0.43509739220027,2.90320764451441
"9","ENA|U00096|U00096.2",134,"+",24,1.95294636135171,NA,NA,0.43509739220027,2.1662420503482
"10","ENA|U00096|U00096.2",138,"+",38,3.09216507214021,NA,NA,0.43509739220027,2.82920706307063
"11","ENA|U00096|U00096.2",145,"+",319,25.9579120529665,"ENA|U00096|U00096.2",30,13.0529217660081,0.991801567783399
"12","ENA|U00096|U00096.2",146,"+",62,5.04511143349192,"ENA|U00096|U00096.2",1,0.43509739220027,3.53547586001392
"13","ENA|U00096|U00096.2",147,"+",14236,1158.42268334179,"ENA|U00096|U00096.2",1839,800.144104256297,0.533830002724896
"14","ENA|U00096|U00096.2",152,"+",67,5.45197525877353,"ENA|U00096|U00096.2",1,0.43509739220027,3.64736874008482
"15","ENA|U00096|U00096.2",153,"+",19,1.54608253607011,NA,NA,0.43509739220027,1.82920706307063
